Остатки по КТ по размерам
Артикул продавца,Название,Артикул WB,Предмет,Бренд,Размер,Регион,Склад,Доступность,"Заказали, шт","Заказали на сумму, ₽","Выкупили, шт","Выкупили на сумму, ₽",Процент выкупа,"Заказы в среднем за октябрь, шт","Общее среднее кол-во заказов, шт","Остатки на текущий день, шт","Стоимость остатков на текущий день, ₽",Оборачиваемость текущих остатков,Оборачиваемость средних остатков,"В пути к клиенту, шт","В пути от клиента, шт","Текущая цена с учетом скидок, ₽",Время отсутствия товара на складе,"Упущенные заказы, шт","Сумма упущенных заказов, ₽","Упущенные выкупы, шт","Сумма упущенных выкупов, ₽"
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Чехов 1,Неактуальный,,,,,,,,86,189329,>999д,>999д,,,2202,0ч,0,0,0,0
Its2/50g+AksDef/20g,Коллаген морской порошок питьевой для суставов и связок,192023173,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Не рассчитано,,,,,,,,,,0ч,0ч,,,2307,Отсутствовал весь период,Не рассчитано,Не рассчитано,Не рассчитано,Не рассчитано
Its2/50g+Aks5/20g.FBS,Коллаген морской порошок питьевой для суставов и связок,552086752,Добавки для суставов и связок,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,2,5500,2,5500,100,0.29,0.29,175,612500,612д 12ч,397д 15ч,,,3500,0ч,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неактуальный,16,46312,4,11714,100,2.29,2.29,174,498186,76д 3ч,49д 2ч,,,2863,0ч,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Неактуальный,,,,,,,,,,0ч,0ч,,,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неактуальный,,,,,,,,,,>999д,0ч,7,1,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Новосемейкино,Неактуальный,,,,,,,,1,2863,>999д,>999д,,,2863,5д 0ч,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Обухово,Неактуальный,,,,,,,,,,0ч,0ч,2,,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Пермь 2,Неактуальный,,,,,,,,,,0ч,0ч,1,,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Электросталь,Неактуальный,,,,,,,,,,0ч,0ч,,,2863,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Электросталь,Баланс,24,48301,8,15704,100,3.43,3.43,75,165113,21д 21ч,24д 3ч,3,,2202,0ч,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Подольск 3,Баланс,13,26512,3,5948,100,1.86,1.86,15,33023,8д 2ч,10д 5ч,8,,2202,0ч,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Баланс,8,15351,4,7673,100,1.14,1.14,32,70448,28д 0ч,30д 16ч,,,2202,0ч,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Котовск,Баланс,6,11951,3,5983,100,0.86,0.86,65,143098,75д 20ч,78д 12ч,1,,2202,0ч,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Рязань (Тюшевское),Баланс,1,2092,,,,0.14,0.14,87,191531,>999д,>999д,,,2202,0ч,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Казань,Баланс,,,,,,,,,,0ч,0ч,,,2202,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,0ч,0ч,20,,2202,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,,,,,,,,1884,4147626,>999д,>999д,,,2202,0ч,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Новосемейкино,Баланс,,,,,,,,,,0ч,0ч,,,2202,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Остальные,Баланс,,,,,,,,,,0ч,0ч,,,2202,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Пушкино,Баланс,,,,,,,,,,>999д,0ч,,1,2202,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Дальневосточный + Сибирский,СЦ Хабаровск,Баланс,,,,,,,,,,>999д,0ч,,1,2202,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Чебоксары 2,Баланс,,,,,,,,,,>999д,0ч,,1,2202,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Чехов 1,Баланс,,,,,,,,212,466718,>999д,>999д,,,2202,0ч,0,0,0,0
Its1_2_3/50g+AksRecov/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024922,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,1,2090,,,,0.14,0.14,185,407026,>999д,>999д,,,2200,0ч,0,0,0,0
Its1_2_3/50g+AksRecov/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024922,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Волгоград,Неликвид,,,,,,,,1,2200,>999д,>999д,,,2200,0ч,0,0,0,0
Its1_2_3/50g+AksRecov/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024922,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неликвид,,,,,,,,,,0ч,0ч,1,,2200,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+AksRecov/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024922,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Неликвид,,,,,,,,1,2200,>999д,>999д,,,2200,0ч,0,0,0,0
