Артикул продавца,Артикул товара,Заказы (всего),Остатки (всего),Оборачиваемость,Название склада,Заказы со склада,Остатки на складе
Its1_2_3/50g,163383326,112,485,"0,000","Краснодар
Чехов 1
Рязань (Тюшевское)
Котовск
Самара (Новосемейкино)","12
44
12
22
21","52
193
53
96
91"
Its2/50g,163383327,80,500,"0,000","Подольск 3
Электросталь
Краснодар
Чехов 1
Рязань (Тюшевское)
Котовск","3
12
5
33
14
10","19
81
33
212
88
67"
ItsSport2/50g,163383328,35,250,"0,000","Подольск 3
Краснодар
Чехов 1
Рязань (Тюшевское)
Котовск
Самара (Новосемейкино)","3
0
12
4
4
9","23
7
86
31
34
69"
Its2/50g+Aks5/20g,262310317,22,0,"0,000",,,
Its1_2_3/50g+Aks5/20g,262310316,0,0,"0,000",,,
Its1_2_3/50g+Aks5/20g.FBS,552086750,5,0,"0,000",,,
ItsSport2/50g+Aks5/20g,262310318,0,0,"0,000",,,
Its1_2_3/50g+AksPoly/20g,192024921,0,0,"0,000",,,
Its1_2_3/50g+AksRecov/20g,192024922,0,2,"0,000","Краснодар
Волгоград","0
0","1
1"
Its2/50g+AksDef/20g,192023173,3,0,"0,000",,,
ItsSport2/50g+Aks5/20g.FBS,552086756,2,0,"0,000",,,
Its2/50g+Aks5/20g.FBS,552086752,3,0,"0,000",,,
