Остатки по КТ по размерам
Артикул продавца,Название,Артикул WB,Предмет,Бренд,Размер,Регион,Склад,Доступность,"Заказали, шт","Заказали на сумму, ₽","Выкупили, шт","Выкупили на сумму, ₽",Процент выкупа,"Заказы в среднем за октябрь, шт","Общее среднее кол-во заказов, шт","Остатки на текущий день, шт","Стоимость остатков на текущий день, ₽",Оборачиваемость текущих остатков,Оборачиваемость средних остатков,"В пути к клиенту, шт","В пути от клиента, шт","Текущая цена с учетом скидок, ₽",Время отсутствия товара на складе,"Упущенные заказы, шт","Сумма упущенных заказов, ₽","Упущенные выкупы, шт","Сумма упущенных выкупов, ₽"
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Белая дача,Баланс,,,,,,,,,,0ч,0ч,1,,2112,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,>999д,0ч,18,2,2112,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,,,,,,,,2019,4264128,>999д,>999д,,,2112,0ч,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Остальные,Баланс,,,,,,,,,,0ч,0ч,,,2112,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,"Пятигорск, Этока",Баланс,,,,,,,,,,0ч,0ч,1,,2112,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,СЦ Кузнецк,Баланс,,,,,,,,,,0ч,0ч,1,,2112,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Дальневосточный + Сибирский,СЦ Хабаровск,Баланс,,,,,,,,,,>999д,0ч,,1,2112,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Софьино,Баланс,,,,,,,,,,0ч,0ч,1,,2112,Отсутствовал весь период,0,0,0,0
Its2/50g,Коллаген морской порошок питьевой для суставов и связок,163383327,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Чехов 1,Баланс,,,,,,,,212,447744,>999д,>999д,,,2112,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Подольск 3,Неактуальный,8,15588,4,7690,80,1.14,1.14,22,47520,23д 12ч,25д 13ч,1,,2160,4ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Рязань (Тюшевское),Неактуальный,6,11453,4,7632,80,0.86,0.86,30,64800,43д 18ч,46д 3ч,,,2160,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Неактуальный,4,7963,2,3787,100,0.57,0.57,6,12960,10д 12ч,12д 19ч,1,,2160,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Электросталь,Неактуальный,3,5693,1,1872,100,0.43,0.43,1,2160,14ч,21ч,,,2160,5д 5ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Котовск,Неактуальный,2,4068,1,2016,100,0.29,0.29,33,71280,115д 12ч,120д 12ч,1,,2160,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неактуальный,1,1778,,,,0.14,0.14,1016,2194560,>999д,>999д,,,2160,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Новосемейкино,Неактуальный,1,1676,,,,0.14,0.14,69,149040,>999д,>999д,1,,2160,2д 21ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Остальные,Неактуальный,1,2016,,,,0.14,0.14,,,0ч,0ч,,,2160,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Виртуальный Ленина 77,Неактуальный,,,,,,,,,,0ч,0ч,,,2160,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Внуково,Неактуальный,,,,,,,,,,>999д,0ч,,1,2160,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Воронеж WB,Неактуальный,,,,,,,,,,0ч,>999д,,,2160,5д 8ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Неактуальный,,,,,,,,,,>999д,>999д,,1,2160,5д 16ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Казань,Неактуальный,,,,,,,,,,0ч,0ч,,,2160,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неактуальный,,,,,,,,,,0ч,0ч,20,,2160,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Чехов 1,Неактуальный,,,,,,,,86,185760,>999д,>999д,,,2160,0ч,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Актуальный,22,66916,10,31506,100,3.14,3.14,196,561175,62д 9ч,24д 9ч,,,2863,0ч,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Актуальный,1,2807,1,2807,100,0.14,0.14,,,0ч,2д 16ч,,,2863,6д 11ч,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Актуальный,,,,,,,,,,>999д,0ч,5,1,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Обухово,Актуальный,,,,,,,,,,0ч,0ч,2,,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,СЦ Кузнецк,Актуальный,,,,,,,,,,0ч,0ч,1,,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Челябинск,Актуальный,,,,,,,,,,>999д,0ч,,1,2863,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g,Коллаген морской порошок питьевой для суставов и связок,262310317,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Электросталь,Актуальный,,,,,,,,,,0ч,0ч,,,2863,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,11,31363,2,6058,100,1.57,1.57,193,523057,122д 20ч,104д 18ч,,,2710,0ч,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Рязань (Тюшевское),Неликвид,1,2976,,,,0.14,0.14,,,0ч,>999д,,,2710,6д 7ч,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Вёшки,Неликвид,,,,,,,,,,0ч,0ч,1,,2710,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неликвид,,,,,,,,,,0ч,0ч,6,,2710,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Обухово,Неликвид,,,,,,,,,,0ч,0ч,3,,2710,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,9,26591,3,9544,100,1.29,1.29,192,549723,149д 8ч,182д 11ч,,,2863,0ч,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Неликвид,1,2987,1,2987,100,0.14,0.14,,,0ч,5д 17ч,,,2863,3д 4ч,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Казань,Неликвид,,,,,,,,,,0ч,0ч,,,2863,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неликвид,,,,,,,,,,0ч,0ч,2,,2863,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Обухово,Неликвид,,,,,,,,,,0ч,0ч,2,,2863,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Радумля 1,Неликвид,,,,,,,,,,0ч,0ч,1,,2863,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Дальневосточный + Сибирский,Чита,Неликвид,,,,,,,,,,0ч,0ч,1,,2863,Отсутствовал весь период,0,0,0,0
